storefront,pf,storefront_id,tab,tab_id,page,section_index,section,section_id,section_ty,section_lo,iar,bg_style,card_source,card_index,card,card_id,card_ty,cty,cust_sc,source_url,request_url
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,5,Martin Luther King (Kannada),CEF5A31E-DD8A-4E69-84A7-7B54B9CBD036,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,6,Toby (Kannada),44277259-AD76-4BBA-B94E-411BDA99D0F5,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,7,Adiyae (Tamil),C1129F04-3BD1-4DED-A9CA-313B2DA10F48,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,8,Mirage,FA547895-DAFD-4945-AEF5-9D171AC03CFB,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,9,Marco,4118C923-519C-4B95-9511-829603B9EB5D,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,10,Pravinkoodu Shappu,B28A6945-BEFD-4C30-8AB9-D75F8F08FDE7,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,11,Bramayugam (Malayalam),90D7BAE1-448B-49CC-9E8D-EE2505A1A551,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,12,Rekhachithram,CB363F3E-EC0D-486A-A189-A9CDE0BD9520,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,4,Premium,16EF77BD-9AA5-4F33-8261-53054D502351,Container,carousel,0-2x3,{},direct_cd,13,James (Kannada),B4399E22-C953-4D96-BADD-A13AB016565F,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,1,Ramarao On Duty (Telugu),49780183-D722-4A85-9264-53F0201AE6D6,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,2,Love Story,C4CE72B9-FC2A-4B1D-B7AA-779E1D0BD206,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
